[17:57:54] === overnight sweep start: 17 benches, iter_cap=500000, time_cap=35.0min, deadline=11.5h ===
[17:57:55] ibm01: fresh start from legalized reference
[18:42:39] ibm06: fresh start from legalized reference
[18:43:23] ibm06: 20000 iters, fast=1.2615 tilos=1.2625 ov=5 (41s)
[18:44:07] ibm06: 40000 iters, fast=1.2151 tilos=1.2160 ov=5 (84s)
[18:44:50] ibm06: 60000 iters, fast=1.1954 tilos=1.1966 ov=5 (128s)
[18:45:34] ibm06: 80000 iters, fast=1.1869 tilos=1.1873 ov=5 (171s)
[18:46:17] ibm06: 100000 iters, fast=1.1826 tilos=1.1830 ov=5 (215s)
[18:47:01] ibm06: 120000 iters, fast=1.1780 tilos=1.1788 ov=5 (258s)
[18:47:45] ibm06: 140000 iters, fast=1.1737 tilos=1.1746 ov=5 (302s)
[18:48:29] ibm06: 160000 iters, fast=1.1708 tilos=1.1716 ov=5 (346s)
[18:49:12] ibm06: 180000 iters, fast=1.1676 tilos=1.1685 ov=5 (390s)
[18:49:56] ibm06: 200000 iters, fast=1.1650 tilos=1.1659 ov=5 (434s)
[18:50:40] ibm06: 220000 iters, fast=1.1635 tilos=1.1644 ov=5 (478s)
[18:51:24] ibm06: 240000 iters, fast=1.1611 tilos=1.1620 ov=5 (521s)
[18:52:07] ibm06: 260000 iters, fast=1.1593 tilos=1.1603 ov=5 (565s)
[18:52:51] ibm06: 280000 iters, fast=1.1587 tilos=1.1596 ov=5 (608s)
[18:53:34] ibm06: 300000 iters, fast=1.1581 tilos=1.1590 ov=5 (651s)
[18:54:17] ibm06: 320000 iters, fast=1.1576 tilos=1.1585 ov=5 (695s)
[18:55:01] ibm06: 340000 iters, fast=1.1572 tilos=1.1581 ov=5 (738s)
[18:55:44] ibm06: 360000 iters, fast=1.1562 tilos=1.1571 ov=5 (782s)
[18:56:28] ibm06: 380000 iters, fast=1.1551 tilos=1.1561 ov=5 (825s)
[18:57:11] ibm06: 400000 iters, fast=1.1537 tilos=1.1543 ov=5 (869s)
[18:57:55] ibm06: 420000 iters, fast=1.1531 tilos=1.1537 ov=5 (912s)
[18:58:38] ibm06: 440000 iters, fast=1.1525 tilos=1.1531 ov=5 (956s)
[18:59:22] ibm06: 460000 iters, fast=1.1522 tilos=1.1528 ov=5 (1000s)
[19:00:06] ibm06: 480000 iters, fast=1.1518 tilos=1.1525 ov=5 (1043s)
[19:00:50] ibm06: 500000 iters, fast=1.1508 tilos=1.1514 ov=5 (1087s)
[19:00:50] ibm06: DONE (500000 iters, 1087s)
[19:00:52] ibm07: fresh start from legalized reference
[19:01:34] ibm07: 20000 iters, fast=1.1833 tilos=1.1822 ov=0 (36s)
[19:02:14] ibm07: 40000 iters, fast=1.1523 tilos=1.1513 ov=0 (76s)
[19:02:53] ibm07: 60000 iters, fast=1.1382 tilos=1.1369 ov=0 (116s)
[19:03:33] ibm07: 80000 iters, fast=1.1325 tilos=1.1310 ov=0 (156s)
[19:04:13] ibm07: 100000 iters, fast=1.1277 tilos=1.1261 ov=0 (195s)
[19:04:52] ibm07: 120000 iters, fast=1.1242 tilos=1.1226 ov=0 (235s)
[19:05:32] ibm07: 140000 iters, fast=1.1215 tilos=1.1199 ov=0 (275s)
[19:06:12] ibm07: 160000 iters, fast=1.1201 tilos=1.1186 ov=0 (315s)
[19:06:52] ibm07: 180000 iters, fast=1.1180 tilos=1.1164 ov=0 (355s)
[19:07:32] ibm07: 200000 iters, fast=1.1159 tilos=1.1143 ov=0 (394s)
[19:08:12] ibm07: 220000 iters, fast=1.1149 tilos=1.1132 ov=0 (434s)
[19:08:52] ibm07: 240000 iters, fast=1.1133 tilos=1.1116 ov=0 (475s)
[19:09:32] ibm07: 260000 iters, fast=1.1117 tilos=1.1100 ov=0 (514s)
[19:10:11] ibm07: 280000 iters, fast=1.1110 tilos=1.1093 ov=0 (554s)
[19:10:51] ibm07: 300000 iters, fast=1.1103 tilos=1.1086 ov=0 (594s)
[19:11:31] ibm07: 320000 iters, fast=1.1093 tilos=1.1077 ov=0 (634s)
[19:12:11] ibm07: 340000 iters, fast=1.1084 tilos=1.1067 ov=0 (673s)
[19:12:51] ibm07: 360000 iters, fast=1.1076 tilos=1.1058 ov=0 (713s)
[19:13:31] ibm07: 380000 iters, fast=1.1069 tilos=1.1051 ov=0 (753s)
[19:14:10] ibm07: 400000 iters, fast=1.1065 tilos=1.1047 ov=0 (793s)
[19:14:50] ibm07: 420000 iters, fast=1.1062 tilos=1.1044 ov=0 (833s)
[19:15:30] ibm07: 440000 iters, fast=1.1059 tilos=1.1041 ov=0 (873s)
[19:16:10] ibm07: 460000 iters, fast=1.1057 tilos=1.1039 ov=0 (913s)
[19:16:50] ibm07: 480000 iters, fast=1.1054 tilos=1.1036 ov=0 (953s)
[19:17:30] ibm07: 500000 iters, fast=1.1052 tilos=1.1035 ov=0 (993s)
[19:17:30] ibm07: DONE (500000 iters, 993s)
[19:17:34] ibm08: fresh start from legalized reference
[19:18:27] ibm08: 20000 iters, fast=1.4392 tilos=1.4392 ov=0 (47s)
[19:19:19] ibm08: 40000 iters, fast=1.3944 tilos=1.3944 ov=0 (99s)
[19:20:11] ibm08: 60000 iters, fast=1.3637 tilos=1.3637 ov=0 (151s)
[19:21:02] ibm08: 80000 iters, fast=1.3477 tilos=1.3477 ov=0 (202s)
[19:21:54] ibm08: 100000 iters, fast=1.3416 tilos=1.3416 ov=0 (254s)
[19:22:46] ibm08: 120000 iters, fast=1.3373 tilos=1.3373 ov=0 (306s)
[19:23:38] ibm08: 140000 iters, fast=1.3349 tilos=1.3349 ov=0 (358s)
[19:24:30] ibm08: 160000 iters, fast=1.3308 tilos=1.3308 ov=0 (410s)
[19:25:21] ibm08: 180000 iters, fast=1.3276 tilos=1.3276 ov=0 (461s)
[19:26:13] ibm08: 200000 iters, fast=1.3257 tilos=1.3257 ov=0 (513s)
[19:27:04] ibm08: 220000 iters, fast=1.3242 tilos=1.3242 ov=0 (564s)
[19:27:56] ibm08: 240000 iters, fast=1.3230 tilos=1.3230 ov=0 (617s)
[19:28:48] ibm08: 260000 iters, fast=1.3217 tilos=1.3217 ov=0 (668s)
[19:29:40] ibm08: 280000 iters, fast=1.3206 tilos=1.3206 ov=0 (720s)
[19:30:31] ibm08: 300000 iters, fast=1.3183 tilos=1.3183 ov=0 (771s)
[19:31:23] ibm08: 320000 iters, fast=1.3173 tilos=1.3173 ov=0 (823s)
[19:32:15] ibm08: 340000 iters, fast=1.3165 tilos=1.3165 ov=0 (875s)
[19:33:06] ibm08: 360000 iters, fast=1.3160 tilos=1.3160 ov=0 (926s)
[19:33:58] ibm08: 380000 iters, fast=1.3152 tilos=1.3152 ov=0 (978s)
[19:34:50] ibm08: 400000 iters, fast=1.3147 tilos=1.3147 ov=0 (1030s)
[19:35:41] ibm08: 420000 iters, fast=1.3140 tilos=1.3140 ov=0 (1081s)
[19:36:33] ibm08: 440000 iters, fast=1.3134 tilos=1.3134 ov=0 (1133s)
[19:37:24] ibm08: 460000 iters, fast=1.3128 tilos=1.3128 ov=0 (1184s)
[19:38:16] ibm08: 480000 iters, fast=1.3116 tilos=1.3116 ov=0 (1236s)
[19:39:08] ibm08: 500000 iters, fast=1.3109 tilos=1.3109 ov=0 (1288s)
[19:39:08] ibm08: DONE (500000 iters, 1288s)
[19:39:10] ibm09: fresh start from legalized reference
[19:39:46] ibm09: 20000 iters, fast=0.9103 tilos=0.9103 ov=0 (32s)
[19:40:21] ibm09: 40000 iters, fast=0.8930 tilos=0.8930 ov=0 (67s)
